binance-usd;bitcoin;cardano;cdai;ethereum;heco-peg-xrp;matic-network;metabusdcoin;oec-binance-coin;polkadot;solana;tether
1.002521;23376.626380;0.514487;0.022056;1850.111291;0.375903;0.861605;3.899860;285.831560;8.104153;39.618895;1.001241
1.000611;23248.384230;0.505061;0.022040;1827.928224;0.368657;0.841575;3.832790;286.020596;7.922590;38.556604;1.000751
1.000515;22952.662240;0.495296;0.022001;1815.588635;0.362596;0.825803;3.794790;284.506214;7.788072;38.098733;1.000523
1.001212;22759.970480;0.494581;0.022092;1825.397225;0.361870;0.829560;3.790560;285.309309;7.822734;38.235960;1.001022
1.001094;22795.071340;0.494902;0.022065;1822.330228;0.363572;0.834217;3.794580;285.076316;7.824738;38.412613;1.000625
1.000396;22802.802040;0.495991;0.022059;1821.597108;0.361946;0.836784;3.802990;282.472516;7.836645;38.290720;1.000604
1.001046;22815.618140;0.495706;0.022059;1820.025944;0.362731;0.835736;3.797430;283.601527;7.856181;38.329518;1.000333
0.979188;22835.792880;0.473639;0.022192;1760.026903;0.346616;0.800771;3.683870;282.883145;7.454876;36.195638;1.004774
1.000141;22056.333400;0.476201;0.022098;1749.236767;0.344113;0.800368;3.681850;284.399713;7.526045;36.793833;1.000477
1.002055;21946.143130;0.471433;0.022073;1742.702371;0.342093;0.790082;3.716200;284.575441;7.503184;36.402020;1.001357
1.000966;21864.068520;0.470989;0.022033;1739.711355;0.338443;0.793042;3.614160;285.669441;7.502310;36.323281;1.001220
0.999552;21776.175810;0.469700;0.022093;1734.866262;0.338756;0.784888;3.591080;284.106966;7.550184;36.232895;1.001919
0.998405;21662.046240;0.464755;0.022019;1704.611298;0.332201;0.775478;3.565750;286.549743;7.455555;36.251553;0.998657
0.997783;21389.428140;0.466104;0.021957;1697.077422;0.334231;0.785227;3.452460;284.281774;7.491262;36.720451;0.997933
1.000987;21490.127080;0.466896;0.022085;1694.860049;0.334608;0.783546;3.451300;284.405370;7.487416;36.565101;1.002371
1.001316;21474.140920;0.468264;0.022064;1698.714979;0.331662;0.786126;3.449020;284.056953;7.509562;36.787280;1.002642
1.003789;21404.313900;0.468295;0.022071;1702.089660;0.331374;0.788941;3.451950;282.375252;7.523413;36.913938;1.001753
1.000855;21428.363920;0.474011;0.022082;1720.481057;0.336088;0.807483;3.501150;282.969143;7.637530;37.673387;1.000518
1.000438;21570.466270;0.469099;0.022062;1709.724415;0.332537;0.796380;3.471280;283.821140;7.510225;37.449333;1.000261
1.001361;21459.715490;0.467404;0.022053;1701.795214;0.334159;0.794292;3.426360;284.128166;7.498932;37.237817;1.001110
1.001015;21391.219120;0.468471;0.022076;1707.014028;0.335596;0.800254;3.416260;282.955026;7.532719;37.379327;1.000915
1.001508;21422.275050;0.461662;0.022104;1689.280445;0.336055;0.792523;3.382220;282.938498;7.456634;36.913404;1.001145
0.997517;21262.356420;0.457378;0.021976;1652.021077;0.335566;0.784291;3.330730;283.372084;7.340182;36.344451;1.004373
1.001163;21149.761860;0.455429;0.022066;1626.805106;0.335776;0.782111;3.328390;283.046633;7.335071;36.284344;1.002629
1.002903;21033.135190;0.452547;0.022035;1618.532504;0.331713;0.774688;3.304880;284.628970;7.336196;35.989795;1.000547
1.002445;20945.833970;0.456978;0.022059;1632.406089;0.341147;0.787553;3.347390;284.933926;7.359608;36.655883;1.001916
1.001688;21128.191840;0.457349;0.022084;1622.960040;0.340357;0.786506;3.381420;283.545306;7.384667;36.543094;1.001969
1.001822;21051.800260;0.461917;0.022067;1631.619949;0.339711;0.791995;3.373660;284.860031;7.401568;36.712239;1.000495
1.002350;21145.610760;0.460254;0.022084;1628.703204;0.339261;0.795311;3.381780;285.190723;7.404522;36.628874;1.000948
1.001576;21167.679700;0.461537;0.022114;1641.623643;0.337874;0.797765;3.373000;283.681347;7.432175;36.699147;0.998201
1.001962;21148.386870;0.460078;0.022101;1642.913743;0.343687;0.798419;3.390340;282.314734;7.419778;36.747858;1.002447
1.002215;21201.339410;0.463359;0.022077;1650.005236;0.341922;0.807541;3.413010;285.214340;7.477275;37.130761;1.000564
1.001185;21326.557100;0.462197;0.022062;1649.214265;0.341495;0.811527;3.422480;283.271838;7.488851;37.114305;1.001234
1.000557;21318.954060;0.460851;0.022056;1640.426788;0.338680;0.806880;3.415670;284.866377;7.447748;36.925195;1.001007
1.000614;21230.868020;0.461021;0.022056;1638.469402;0.341396;0.808672;3.416500;284.102877;7.454838;36.870996;1.001122
1.000351;21241.892220;0.460102;0.022035;1631.014369;0.341689;0.805401;3.412690;284.056172;7.429729;36.661252;0.999414
1.000892;21208.136200;0.461205;0.022060;1635.642025;0.340677;0.808553;3.422170;283.169208;7.434887;36.714542;1.001346
1.000714;21275.159690;0.459269;0.021960;1631.993140;0.339997;0.806113;3.415270;282.524353;7.425600;36.761117;1.002398
1.002415;21295.004210;0.459034;0.021984;1635.070252;0.341389;0.804476;3.418730;281.019844;7.427203;36.863639;1.001198
0.999908;21321.575800;0.456011;0.021952;1634.521607;0.340613;0.797254;3.393400;281.330089;7.415241;36.589094;1.000977
1.003011;21265.427000;0.456594;0.022084;1638.184499;0.339287;0.799589;3.396460;280.494575;7.422810;36.574899;1.001571
1.001903;21337.446250;0.453955;0.021951;1627.653468;0.341286;0.792923;3.395640;282.320138;7.394442;36.258178;1.002095
1.001610;21287.151620;0.452168;0.021924;1620.500483;0.338514;0.789519;3.371010;279.170473;7.330118;35.893277;1.001138
0.999347;21304.722720;0.445265;0.022115;1591.024375;0.336155;0.773369;3.346260;280.194863;7.287906;35.808323;1.001029
1.000475;21242.430270;0.442965;0.022059;1568.115803;0.332144;0.772677;3.312530;282.008634;7.146989;34.523485;0.999293
0.999871;21007.836490;0.445186;0.021921;1556.488510;0.330820;0.766393;3.328270;281.071771;7.076462;34.472318;1.003718
1.004516;21047.789980;0.449610;0.022061;1567.221236;0.338619;0.778162;3.369300;280.311550;7.195777;34.995861;1.000258
1.001923;21089.343460;0.450147;0.022080;1576.749830;0.340422;0.782247;3.376220;280.241033;7.229560;35.185263;1.001445
