BUZA;KUKORICA;ARPA;ROZS;ZAB;SZOJA;NAPRAFORGO;REPCE;DOHANY;CUKORREPA;BURGONYA;BAB;BORSO
5050;4090;4570;2500;3310;1240;1950;1740;1300;36090;16920;880;2240
5190;6710;4360;2370;2650;2300;2070;1680;1440;37160;15760;1020;2350
4070;3650;3590;1920;2810;1430;1780;1280;1020;27190;16850;850;2180
3050;3500;2640;1660;1820;1710;1780;1000;930;22950;13310;760;1580
4590;3850;3670;2160;2310;1840;1600;1810;1390;31980;12770;850;2490
4160;4430;3560;2190;2590;1850;1600;1960;1560;33950;15780;840;2530
3280;5610;2830;1650;2340;2170;1820;1470;1630;39590;17790;940;1930
4210;6410;3590;2260;2590;2240;1220;1620;1670;37680;16280;930;2110
4140;5950;3540;2080;2560;2090;1680;1400;1870;41960;18850;1180;2430
3590;6380;3120;2030;2560;2400;1520;1820;1860;44540;18390;1170;2150
3600;4150;2770;2000;1670;1390;1620;1550;1700;34350;15290;960;1840
4310;6220;3530;2370;2450;2020;1960;1870;1620;43780;21280;1150;2410
3510;5050;2820;1960;2160;2240;1860;1600;2010;41080;18280;1060;2170
2640;3950;2380;1460;1490;1650;1900;1490;2120;35120;15660;920;1330
5120;7000;4270;2750;3120;2370;2470;2770;1870;56720;22760;1310;2960
4500;7560;3750;2570;2520;2320;2170;2310;1740;57040;23020;1560;2520
4070;6820;3670;2540;2550;2370;2210;2380;1550;52410;23450;2220;2450
3590;3730;3170;2040;2090;1640;2070;2200;1120;41040;18970;1310;2290
4980;7470;4450;2580;2970;2560;2670;2650;1650;59670;22280;2440;2220
3850;6390;3320;1810;2130;2270;2350;2220;1130;53600;21260;1720;1710
3710;6470;3360;2110;2320;2270;1930;2050;1450;59090;20420;1200;2020
4200;6500;3780;2300;2410;2320;2370;2250;1720;56510;25860;1960;2330
3750;4000;3620;2240;2590;1660;2140;2510;1650;47090;20540;1810;2100
4640;5440;4050;3070;2570;1860;2490;2690;1770;52660;21690;1710;2280
4730;7820;4420;2860;2670;2690;2690;3270;1960;69200;25580;2090;2410
5180;5790;4760;2760;2830;2030;2550;2680;1680;58720;22530;1840;2730
5370;8630;5090;3090;2850;3030;2980;3600;1770;70090;24970;1810;2480
5430;6820;5280;3290;2540;2370;2910;3080;1900;62830;21490;1880;2645
5120;8490;4690;3370;2620;2920;2970;3030;1790;60770;22220;2230;2030
5290;8060;5590;3490;3230;2910;3030;3030;1770;58490;23590;2210;2500
5470;8580;5680;3200;2990;2830;2770;2830;1580;60440;23380;2420;2260
5930;6130;6370;3310;3060;2520;2680;2850;1830;56420;23990;1590;2490
