ADSK;ATVI;PYPL;AMD;INTC;QCOM;NFLX;TXN;ADBE;TMUS;CSCO;AVGO;META;NVDA;TSLA;AMZN;GOOGL;GOOG;MSFT;APPL
334;66;216;152;51;182;687;189;671;118;57;569;343;302;352;177;148;149;340;151
331;64;206;151;50;184;692;190;671;117;57;570;341;293;363;177;148;149;339;153
322;63;201;155;50;186;682;193;671;117;54;575;339;317;365;185;150;151;341;158
323;62;194;155;50;185;679;195;688;116;53;569;345;330;379;184;149;150;343;161
310;62;189;153;50;181;659;193;674;114;55;553;341;320;386;179;146;147;340;161
304;62;188;150;49;181;654;193;665;115;55;555;337;317;370;179;146;147;338;161
257;61;189;158;50;181;658;194;668;114;56;559;341;327;372;179;146;147;338;162
254;61;188;155;49;176;666;188;662;114;55;547;333;315;361;175;142;143;330;157
261;60;187;162;50;184;664;194;687;113;56;564;338;334;379;178;146;146;337;160
254;59;185;158;49;181;642;192;670;109;55;554;324;327;382;175;142;142;331;165
250;57;179;149;49;176;618;192;657;107;55;555;311;314;365;172;141;142;330;165
258;57;187;151;50;177;616;194;672;110;56;552;310;321;362;172;143;144;329;164
259;57;184;144;49;177;602;193;617;113;56;558;307;307;338;169;142;143;323;162
266;58;185;139;51;175;613;195;622;116;57;565;318;300;336;171;143;144;326;165
277;59;191;145;53;184;626;199;650;117;58;590;323;324;351;176;147;148;335;171
276;59;197;145;52;183;628;196;653;115;57;589;331;318;356;176;148;149;335;175
268;59;192;138;50;182;611;193;633;114;58;583;330;305;335;174;148;148;333;175
269;59;189;139;51;184;612;196;654;115;59;632;330;302;339;172;148;149;343;179
269;59;186;134;50;183;605;193;658;115;59;622;334;282;322;170;146;147;339;176
263;60;187;136;50;182;598;190;615;117;58;615;334;283;320;169;144;145;328;174
272;60;191;147;51;189;605;193;630;118;60;640;342;305;325;173;146;147;335;179
270;61;189;139;51;178;591;188;566;121;60;621;335;284;309;169;144;145;325;172
278;61;186;138;51;177;587;186;557;120;60;635;334;278;311;170;142;143;324;171
275;62;183;136;50;177;594;184;550;119;60;645;325;277;300;167;142;142;320;170
280;64;189;144;51;180;605;186;558;121;61;646;334;291;313;170;143;144;327;173
283;64;192;144;51;181;614;187;564;121;62;655;330;294;336;171;146;147;333;176
281;65;192;146;51;183;614;187;570;120;62;665;335;296;356;171;147;147;335;176
284;65;192;154;52;186;613;192;578;119;63;674;346;309;365;170;148;148;342;180
283;67;190;153;52;185;611;191;569;118;64;669;346;303;363;171;147;146;341;179
283;67;190;148;52;186;611;191;569;118;64;673;343;300;362;169;147;147;342;179
